year,disaster_type,disaster_subtype,country,latitude,longitude,start_year,start_month,start_day,total_deaths,total_damages,event_name,associated_dis,dis_mag_scale,dis_mag_value
1930,Earthquake,Ground movement,Albania,40.3,19.6,1930,12,2,25,NA,NA,NA,Richter,5
1930,Earthquake,Ground movement,China,26.8,103,1930,5,14,42,NA,NA,NA,Richter,6
1930,Earthquake,Ground movement,China,30,100,1930,8,24,200,NA,NA,NA,Richter,6
1931,Earthquake,Ground movement,Albania,40.6,20.8,1931,1,28,90,NA,NA,NA,Richter,6
1931,Earthquake,Ground movement,Armenia,39.2,46,1931,4,27,2890,NA,NA,NA,Richter,6
1931,Earthquake,Ground movement,China,46.817,89.915,1931,8,11,10000,NA,NA,NA,Richter,8
1933,Earthquake,NA,China,29.5,102.5,1933,9,20,200,NA,NA,NA,Richter,5
1935,Earthquake,Ground movement,China,28.7,103.6,1935,12,18,100,NA,NA,NA,Richter,6
1936,Earthquake,Ground movement,China,34.2,105.7,1936,8,1,115,NA,NA,NA,Richter,6
1936,Earthquake,Ground movement,China,26.6,103,1936,8,17,30,NA,NA,NA,Richter,6
1936,Earthquake,Ground movement,Colombia,1.2,-77.3,1936,8,14,18,NA,NA,NA,Richter,NA
1937,Earthquake,Ground movement,China,35.259,115.184,1937,8,1,390,NA,NA,NA,Richter,NA
1940,Earthquake,Ground movement,China,23.9,102.3,1940,4,6,181,NA,NA,NA,Richter,6
1941,Earthquake,Ground movement,China,47,127.2,1931,5,6,132,NA,NA,NA,Richter,6
1941,Earthquake,Ground movement,China,31.7,102.3,1941,10,8,15,NA,NA,NA,Richter,6
1942,Earthquake,Ground movement,Albania,41.7,20.4,1942,8,27,43,NA,NA,NA,Richter,6
1942,Earthquake,Ground movement,China,23.1,100.3,1942,2,2,90,NA,NA,NA,Richter,7
1945,Earthquake,Ground movement,China,39.5,119,1945,9,23,17,NA,NA,NA,Richter,6
1948,Earthquake,Ground movement,China,29.5,100.5,1948,5,25,800,NA,NA,NA,Richter,7
1948,Earthquake,Ground movement,China,26.4,99.7,1948,6,27,110,NA,NA,NA,Richter,7
1949,Earthquake,Ground movement,China,42,84,1949,2,23,21,NA,NA,NA,Richter,7
1952,Earthquake,Ground movement,China,30.648,91.601,1952,8,17,54,NA,NA,NA,Richter,7
1952,Earthquake,Ground movement,Costa Rica,10.3,-83.5,1952,12,30,29,NA,NA,NA,Richter,NA
1955,Earthquake,Ground movement,Costa Rica,10,-84.5,1955,9,1,10,NA,NA,NA,Richter,6
1958,Earthquake,Tsunami,Colombia,1.5,-79.5,1958,1,19,111,NA,NA,Tsunami/Tidal wave,Richter,8
